trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		71.63636363636364		94.9090909090909		106.54545454545455		118.18181818181819		71.63636363636364		83.27272727272728		94.9090909090909		118.18181818181819		60.763636363636365		61.09090909090909		61.52727272727273		62.18181818181818		62.29090909090909		63.27272727272727		63.81818181818182		65.45454545454545		62.29090909090909		63.054545454545455		64.58181818181818		66.10909090909091		66.87272727272727		69.16363636363636		71.45454545454545		75.27272727272728		63.054545454545455		63.92727272727273		66.10909090909091		67.85454545454546		69.16363636363636		71.78181818181818		75.27272727272728		79.63636363636364		63.81818181818182		64.72727272727273		67.63636363636364		69.45454545454545		71.45454545454545		74.18181818181819		79.0909090909091		83.63636363636364		60.763636363636365		61.09090909090909		62.29090909090909		63.054545454545455		63.054545454545455		63.92727272727273		63.81818181818182		64.72727272727273		61.52727272727273		62.18181818181818		64.58181818181818		66.10909090909091		66.10909090909091		67.85454545454546		67.63636363636364		69.45454545454545		62.29090909090909		63.27272727272727		66.87272727272727		69.16363636363636		69.16363636363636		71.78181818181818		71.45454545454545		74.18181818181819		63.81818181818182		65.45454545454545		71.45454545454545		75.27272727272728		75.27272727272728		79.63636363636364		79.0909090909091		83.63636363636364
1	Oy	Ou			2	2			2	96.9090909090909	2	108.54545454545455	2	120.18181818181819							-2	116.18181818181819													-2	61.81818181818182	-2	63.45454545454545													-2	69.45454545454545	-2	73.27272727272728													-2	73.27272727272728	-2	77.63636363636364													-2	77.0909090909091	-2	81.63636363636364																																																																
2	aIE	Aie	2	2	2	4			-2	94.9090909090909	-2	106.54545454545455	-2	118.18181818181819	2	73.63636363636364	2	85.27272727272728	2	96.9090909090909	2	118.18181818181819																																																																																																																																
4	oaE	oae			2	6					-2	104.54545454545455	-2	116.18181818181819			2	87.27272727272728	2	98.9090909090909	2	120.18181818181819																																																																																																											-2	69.78181818181818			-2	72.18181818181819									-2	73.27272727272728	-2	77.63636363636364	-2	77.0909090909091	-2	81.63636363636364
6	yOA	yoa			2	8	2	73.63636363636364	2	96.9090909090909	2	106.54545454545455	2	118.18181818181819					-2	96.9090909090909	-2	118.18181818181819																									-2	64.87272727272727	-2	67.16363636363636	-2	67.45454545454545	-2	71.27272727272728									-2	67.16363636363636	-2	69.78181818181818	-2	71.27272727272728	-2	75.63636363636364									-2	69.45454545454545	-2	72.18181818181819	-2	75.0909090909091	-2	79.63636363636364																																																																
7	uII	uii			2	10							-2	116.18181818181819	2	75.63636363636364	2	89.27272727272728	2	98.9090909090909	2	120.18181818181819																																																																																																																													-2	75.0909090909091	-2	79.63636363636364
8	Oey	Oeu			2	12			2	98.9090909090909	2	108.54545454545455	2	118.18181818181819							-2	118.18181818181819															-2	61.45454545454545															-2	69.27272727272728													-2	69.27272727272728	-2	73.63636363636364													-2	73.0909090909091	-2	77.63636363636364																																																																
9	OOA	Ooa			2	14	2	75.63636363636364	2	100.9090909090909	2	110.54545454545455	2	120.18181818181819					-2	96.9090909090909	-2	116.18181818181819									-2	60.29090909090909	-2	61.27272727272727	-2	59.81818181818182	-2	59.45454545454545									-2	62.872727272727275	-2	65.16363636363636	-2	65.45454545454545	-2	67.27272727272728									-2	65.16363636363636	-2	67.78181818181818	-2	67.27272727272728	-2	71.63636363636364									-2	67.45454545454545	-2	70.18181818181819	-2	71.0909090909091	-2	75.63636363636364																																																																
10	oEu	oeu			2	16					-2	108.54545454545455	-2	118.18181818181819			2	91.27272727272728	2	98.9090909090909	2	118.18181818181819																																													-2	65.27272727272728	-2	69.63636363636364													-2	69.0909090909091	-2	73.63636363636364																																									-2	67.16363636363636	-2	67.78181818181818	-2	69.45454545454545	-2	70.18181818181819									-2	71.27272727272728	-2	75.63636363636364	-2	73.0909090909091	-2	77.63636363636364
11	AAe	aae	2	4	2	18			2	102.9090909090909	2	110.54545454545455	2	120.18181818181819							-2	116.18181818181819																																																																																																																									-2	69.27272727272728	-2	73.63636363636364	-2	71.0909090909091	-2	75.63636363636364
