trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		64.54545454545455		93.63636363636363		108.18181818181819		122.72727272727273		64.54545454545455		79.0909090909091		93.63636363636363		122.72727272727273		50.95454545454545		51.36363636363637		51.90909090909091		52.72727272727273		52.86363636363637		54.09090909090909		54.77272727272727		56.81818181818182		52.86363636363637		53.81818181818182		55.72727272727273		57.63636363636364		58.59090909090909		61.45454545454545		64.31818181818181		69.0909090909091		53.81818181818182		54.90909090909091		57.63636363636364		59.81818181818182		61.45454545454545		64.72727272727273		69.0909090909091		74.54545454545455		54.77272727272727		55.90909090909091		59.54545454545455		61.81818181818182		64.31818181818181		67.72727272727272		73.86363636363636		79.54545454545455		50.95454545454545		51.36363636363637		52.86363636363637		53.81818181818182		53.81818181818182		54.90909090909091		54.77272727272727		55.90909090909091		51.90909090909091		52.72727272727273		55.72727272727273		57.63636363636364		57.63636363636364		59.81818181818182		59.54545454545455		61.81818181818182		52.86363636363637		54.09090909090909		58.59090909090909		61.45454545454545		61.45454545454545		64.72727272727273		64.31818181818181		67.72727272727272		54.77272727272727		56.81818181818182		64.31818181818181		69.0909090909091		69.0909090909091		74.54545454545455		73.86363636363636		79.54545454545455
1	aoa	Aoa	0.6666666666666666	0.6666666666666666	0	0			-2	91.63636363636363	-2	106.18181818181819	-2	120.72727272727273							0.6666666666666666	123.3939393939394																									-2	56.59090909090909	-2	59.45454545454545	-2	62.31818181818181	-2	67.0909090909091									-2	59.45454545454545	-2	62.727272727272734	-2	67.0909090909091	-2	72.54545454545455									-2	62.31818181818181	-2	65.72727272727272	-2	71.86363636363636	-2	77.54545454545455																																																																
2	AOO	aoo	0.3333333333333333	1.0	0	0	0.3333333333333333	64.87878787878788	0.3333333333333333	91.96969696969695	0.3333333333333333	106.51515151515152	0.3333333333333333	121.06060606060606					-2	91.63636363636363	-2	121.3939393939394																																																																																																																																
5	eyO	euo			0.3333333333333333	0.3333333333333333	0.3333333333333333	65.2121212121212	0.3333333333333333	92.30303030303028	0.3333333333333333	106.84848484848484	0.3333333333333333	121.39393939393939					-2	89.63636363636363	-2	119.3939393939394																																											-2	60.727272727272734	-2	65.0909090909091	-2	70.54545454545455											-2	63.72727272727272	-2	69.86363636363636	-2	75.54545454545455																																																																
6	aEE	aee			0.4	0.7333333333333334					-2	104.84848484848484	-2	119.39393939393939			0.4	79.4909090909091	0.4	90.03636363636363	0.4	119.79393939393941																																																																																																																									-2	67.0909090909091	-2	72.54545454545455	-2	71.86363636363636	-2	77.54545454545455
8	EIo	eio	0.3333333333333333	1.3333333333333333	0	0.7333333333333334					-2	102.84848484848484	-2	117.39393939393939	0.3333333333333333	64.87878787878788	0.3333333333333333	79.82424242424243	0.3333333333333333	90.36969696969696	0.3333333333333333	120.12727272727274																																											-2	58.727272727272734			-2	68.54545454545455									-2	60.31818181818181	-2	61.72727272727272	-2	67.86363636363636	-2	73.54545454545455																																																																
9	yeA	yea			0.4	1.1333333333333333			0.4	92.70303030303029	0.4	103.24848484848485	0.4	117.7939393939394							-2	118.12727272727274																															-2	65.0909090909091													-2	63.09090909090909	-2	66.54545454545455													-2	65.86363636363636	-2	71.54545454545455																																																																
12	uEI	uei			0.3333333333333333	1.4666666666666666					-2	101.24848484848485	-2	115.7939393939394	0.3333333333333333	65.2121212121212	0.3333333333333333	80.15757575757576	0.3333333333333333	90.70303030303029	0.3333333333333333	118.46060606060607																																																																																																																									-2	65.0909090909091	-2	70.54545454545455	-2	69.86363636363636	-2	75.54545454545455
12	Apriori	Id(Bk)Syl1>>Id(Bk)	0.1333333333333333	1.4666666666666666																																																																																																																																																			
13	yiA	yia			0.4	1.8666666666666667			0.4	93.1030303030303	0.4	101.64848484848486	0.4	116.1939393939394							-2	116.46060606060607																															-2	63.09090909090909															-2	64.54545454545455													-2	63.86363636363636	-2	69.54545454545455																																																																
