trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
0	Apriori	Id(Bk)Syl1>>Id(Bk)	35	35																																																																																																																																																		
1	Euu	euu	2	37	2	2					-2	98	-2	98			2	102	2	102	2	102																																													-2	98	-2	98													-2	98	-2	98																																																																
2	eei	Eei	2	39	2	4					2	100	2	100			-2	100	-2	100	-2	100																																																																																									-2	98	-2	98	-2	98	-2	98									-2	98	-2	98	-2	98	-2	98									-2	98	-2	98	-2	98	-2	98
3	AAi	aai	2	41					2	102	2	102	2	102							-2	98																																																																																																																													-2	96	-2	96
4	uuI	uui			2	6							-2	100	2	102	2	102	2	102	2	100																																																																																																																													-2	94	-2	94
5	ue	ye	2	43	2	8			-2	100	-2	100	-2	98							2	102																																																																																																																									2	100	2	100	2	96	2	96
7	uoE	uoe			-2	6					-2	98	-2	96			2	104	2	104	2	104																																																																																																									-2	96	-2	96	-2	96	-2	96									-2	98	-2	98	-2	94	-2	94
9	iAy	iau			-2	4			2	102	2	100	2	98							-2	102																																																													-2	96	-2	96																																																																
10	uaa	yaa	2	45	2	6			-2	100	-2	98	-2	96							2	104																													-2	98	-2	98													-2	96	-2	96													-2	94	-2	94																																																																
