trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		64.54545454545455		93.63636363636363		108.18181818181819		122.72727272727273		64.54545454545455		79.0909090909091		93.63636363636363		122.72727272727273		50.95454545454545		51.36363636363637		51.90909090909091		52.72727272727273		52.86363636363637		54.09090909090909		54.77272727272727		56.81818181818182		52.86363636363637		53.81818181818182		55.72727272727273		57.63636363636364		58.59090909090909		61.45454545454545		64.31818181818181		69.0909090909091		53.81818181818182		54.90909090909091		57.63636363636364		59.81818181818182		61.45454545454545		64.72727272727273		69.0909090909091		74.54545454545455		54.77272727272727		55.90909090909091		59.54545454545455		61.81818181818182		64.31818181818181		67.72727272727272		73.86363636363636		79.54545454545455		50.95454545454545		51.36363636363637		52.86363636363637		53.81818181818182		53.81818181818182		54.90909090909091		54.77272727272727		55.90909090909091		51.90909090909091		52.72727272727273		55.72727272727273		57.63636363636364		57.63636363636364		59.81818181818182		59.54545454545455		61.81818181818182		52.86363636363637		54.09090909090909		58.59090909090909		61.45454545454545		61.45454545454545		64.72727272727273		64.31818181818181		67.72727272727272		54.77272727272727		56.81818181818182		64.31818181818181		69.0909090909091		69.0909090909091		74.54545454545455		73.86363636363636		79.54545454545455
0	Apriori	Id(Bk)Syl1>>Id(Bk)	35	35																																																																																																																																																		
2	OiA	oia	0.3333333333333333	35.333333333333336	0	0	0.3333333333333333	64.87878787878788	0.3333333333333333	93.96969696969695	0.3333333333333333	108.51515151515152	0.3333333333333333	123.06060606060606					-2	91.63636363636363	-2	120.72727272727273																																																													-2	71.86363636363636	-2	77.54545454545455																																													-2	62.31818181818181	-2	65.72727272727272													-2	71.86363636363636	-2	77.54545454545455
3	AOi	aoi	0.3333333333333333	35.66666666666667	0	0	0.3333333333333333	65.2121212121212	0.3333333333333333	94.30303030303028	0.3333333333333333	108.84848484848484	0.3333333333333333	123.39393939393939					-2	89.63636363636363	-2	118.72727272727273																																																																																																													-2	60.31818181818181	-2	63.72727272727272													-2	69.86363636363636	-2	75.54545454545455
4	IEE	iee	0.3333333333333333	36.00000000000001	0	0					-2	106.84848484848484	-2	121.39393939393939	0.3333333333333333	64.87878787878788	0.3333333333333333	79.42424242424242	0.3333333333333333	89.96969696969695	0.3333333333333333	119.06060606060606																																																																																																																																
5	aI	Ai	0.3333333333333333	36.33333333333334	0	0			-2	92.30303030303028	-2	104.84848484848484	-2	119.39393939393939	0.3333333333333333	65.2121212121212	0.3333333333333333	79.75757575757575	0.3333333333333333	90.30303030303028	0.3333333333333333	119.39393939393939																																																																																																																																
6	iey	IEu	0.4	36.73333333333334	0	0			0.4	92.70303030303029	0.4	105.24848484848485	0.4	119.7939393939394	-2	63.212121212121204	-2	77.75757575757575	-2	88.30303030303028	-2	117.39393939393939																																																																																																																																
7	IEI	iei	0.3333333333333333	37.06666666666668	0	0					-2	103.24848484848485	-2	117.7939393939394	0.3333333333333333	63.54545454545454	0.3333333333333333	78.09090909090908	0.3333333333333333	88.63636363636361	0.3333333333333333	117.72727272727272																																																																																																																																
9	eA	Ea	0.4	37.466666666666676	0	0			0.4	93.1030303030303	0.4	103.64848484848486	0.4	118.1939393939394			-2	76.09090909090908	-2	86.63636363636361	-2	115.72727272727272																																																																																																																																
10	III	iii	0.3333333333333333	37.80000000000001	0	0							-2	116.1939393939394	0.3333333333333333	63.878787878787875	0.3333333333333333	76.42424242424241	0.3333333333333333	86.96969696969694	0.3333333333333333	116.06060606060605																																																																																																																																
