trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		79.0909090909091		137.27272727272725		166.36363636363637		195.45454545454547		79.0909090909091		108.18181818181819		137.27272727272725		195.45454545454547		51.90909090909091		52.72727272727273		53.81818181818182		55.45454545454545		55.72727272727273		58.18181818181818		59.54545454545455		63.63636363636363		55.72727272727273		57.63636363636364		61.45454545454545		65.27272727272728		67.18181818181819		72.9090909090909		78.63636363636364		88.18181818181819		57.63636363636364		59.81818181818182		65.27272727272728		69.63636363636364		72.9090909090909		79.45454545454545		88.18181818181819		99.0909090909091		59.54545454545455		61.81818181818182		69.0909090909091		73.63636363636364		78.63636363636364		85.45454545454545		97.72727272727272		109.0909090909091		51.90909090909091		52.72727272727273		55.72727272727273		57.63636363636364		57.63636363636364		59.81818181818182		59.54545454545455		61.81818181818182		53.81818181818182		55.45454545454545		61.45454545454545		65.27272727272728		65.27272727272728		69.63636363636364		69.0909090909091		73.63636363636364		55.72727272727273		58.18181818181818		67.18181818181819		72.9090909090909		72.9090909090909		79.45454545454545		78.63636363636364		85.45454545454545		59.54545454545455		63.63636363636363		78.63636363636364		88.18181818181819		88.18181818181819		99.0909090909091		97.72727272727272		109.0909090909091
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	EaI	Eai			0.3333333333333333	0.3333333333333333							-2	193.45454545454547	0.3333333333333333	79.42424242424242	0.3333333333333333	108.51515151515152	0.3333333333333333	137.6060606060606	0.3333333333333333	195.7878787878788																																																																																															-2	71.63636363636364															-2	83.45454545454545													-2	95.72727272727272	-2	107.0909090909091
1	Apriori	Id(Bk)Syl1>>Id(Bk)	0.33333333333333215	20.333333333333332																																																																																																																																																			
2	yye	yue			0.4	0.7333333333333334			0.4	137.67272727272726	0.4	166.76363636363638	0.4	193.85454545454547							-2	193.7878787878788																													-2	76.63636363636364	-2	86.18181818181819													-2	86.18181818181819	-2	97.0909090909091													-2	95.72727272727272	-2	107.0909090909091																																																									-2	86.18181818181819	-2	97.0909090909091	-2	93.72727272727272	-2	105.0909090909091
2	Apriori	Id(Bk)Syl1>>Id(Bk)	0.40000000000000213	20.733333333333334																																																																																																																																																			
3	yiO	uio	0.3333333333333333	21.066666666666666	0	0.7333333333333334	0.3333333333333333	79.42424242424242	0.3333333333333333	138.0060606060606	0.3333333333333333	167.09696969696972	0.3333333333333333	194.18787878787882					-2	135.6060606060606	-2	191.7878787878788																																																									-2	76.63636363636364	-2	83.45454545454545	-2	93.72727272727272	-2	105.0909090909091																																																													-2	91.72727272727272	-2	103.0909090909091
4	uEo	yeo	0.4	21.466666666666665	0	0.7333333333333334			-2	136.0060606060606	-2	165.09696969696972	-2	192.18787878787882			0.4	108.91515151515152	0.4	136.0060606060606	0.4	192.18787878787882																											-2	70.9090909090909			-2	84.18181818181819									-2	70.9090909090909	-2	77.45454545454545	-2	84.18181818181819	-2	95.0909090909091									-2	74.63636363636364	-2	81.45454545454545	-2	91.72727272727272	-2	103.0909090909091																																																																
5	yyO	yuo			0.3333333333333333	1.0666666666666667	0.3333333333333333	79.75757575757575	0.3333333333333333	136.33939393939394	0.3333333333333333	165.43030303030307	0.3333333333333333	192.52121212121216					-2	134.0060606060606	-2	190.18787878787882																											-2	68.9090909090909	-2	74.63636363636364	-2	82.18181818181819											-2	75.45454545454545	-2	82.18181818181819	-2	93.0909090909091											-2	79.45454545454545	-2	89.72727272727272	-2	101.0909090909091																																																																
6	yey	yeu			0.4	1.4666666666666668			0.4	136.73939393939395	0.4	165.83030303030307	0.4	192.92121212121216							-2	188.18787878787882																															-2	80.18181818181819													-2	80.18181818181819	-2	91.0909090909091													-2	87.72727272727272	-2	99.0909090909091																																																																
